flashcard_type,topic,question,answer,explanation,hint,ordering_steps_items.step_content,ordering_steps_items.correct_order
Concept/Theorem/Formula,1,Định nghĩa và cách giải phương trình bậc nhất một ẩn,Phương trình dạng \(ax + b = 0\) (với \(a \ne 0\)) được gọi là phương trình bậc nhất một ẩn. Cách giải: Chuyển vế: \(ax = -b\). Chia hai vế cho \(a\): \(x = -\frac{b}{a}\). Ví dụ: Giải phương trình \(2x + 6 = 0\). Ta có \(2x = -6 \Rightarrow x = -3\).,Điều kiện \(a \ne 0\) là quan trọng để đảm bảo phương trình có nghiệm duy nhất và phép chia cho \(a\) là hợp lệ.,Nhớ chuyển vế đổi dấu và chia cho hệ số của x.,,
Fill in the Blank,1,"Phương trình bậc nhất một ẩn có dạng \(ax + b = 0\), với điều kiện \(a \ne \) ___. Nghiệm của phương trình là \(x = \) ___.",0; -b/a,Đây là dạng tổng quát và công thức nghiệm của phương trình bậc nhất một ẩn.,Điều kiện của hệ số a và công thức nghiệm.,,
Short Answer/Open-ended,1,Giải phương trình sau: \(3(x - 1) + 2 = 5x - 7\),Ta có: \(3x - 3 + 2 = 5x - 7 \Rightarrow 3x - 1 = 5x - 7 \Rightarrow 3x - 5x = -7 + 1 \Rightarrow -2x = -6 \Rightarrow x = 3\). Vậy nghiệm của phương trình là \(x=3\).,"Các bước giải bao gồm: bỏ dấu ngoặc, chuyển các hạng tử chứa ẩn sang một vế, các hằng số sang vế kia, thu gọn và tìm x.","Thực hiện khai triển, chuyển vế và thu gọn cẩn thận.",,
Identify the Error,1,Hãy tìm và chỉ ra lỗi sai trong các bước giải phương trình sau:  \n Bước 1: \(2x - 4 = 6\)  \n Bước 2: \(2x = 6 - 4\)  \n Bước 3: \(2x = 2\)  \n Bước 4: \(x = 1\),"Lỗi sai ở Bước 2: Khi chuyển -4 từ vế trái sang vế phải, phải đổi dấu thành +4. Lời giải đúng:  \n Bước 1: \(2x - 4 = 6\)  \n Bước 2: \(2x = 6 + 4\)  \n Bước 3: \(2x = 10\)  \n Bước 4: \(x = 5\).","Quy tắc chuyển vế: Khi chuyển một hạng tử từ vế này sang vế kia của một phương trình, ta phải đổi dấu hạng tử đó.",Kiểm tra quy tắc chuyển vế ở Bước 2.,,
Concept/Theorem/Formula,1,Phương trình tích và cách giải,"Phương trình tích có dạng \(A(x) \cdot B(x) = 0\). Cách giải: \(A(x) \cdot B(x) = 0 \Leftrightarrow A(x) = 0\) hoặc \(B(x) = 0\). Sau đó giải các phương trình \(A(x) = 0\) và \(B(x) = 0\), rồi lấy tất cả các nghiệm tìm được. Ví dụ: \((x-1)(x+2)=0 \Leftrightarrow x-1=0\) hoặc \(x+2=0 \Leftrightarrow x=1\) hoặc \(x=-2\).",Một tích bằng 0 khi và chỉ khi ít nhất một trong các thừa số của nó bằng 0.,Cho từng thừa số bằng 0.,,
What's the Next Step?,1,"Để giải phương trình \((2x+1)(x-3)=0\), bước đầu tiên ta áp dụng quy tắc phương trình tích: \(2x+1=0\) hoặc \(x-3=0\). Bước tiếp theo để giải phương trình \(2x+1=0\) là gì?",Chuyển 1 sang vế phải: \(2x = -1\).,Sau đó ta sẽ chia cả hai vế cho 2 để tìm x.,Giải phương trình bậc nhất.,,
Short Answer/Open-ended,1,Giải phương trình tích: \(x^2 - 4x = 0\),"Ta có: \(x^2 - 4x = 0 \Leftrightarrow x(x-4) = 0\). Do đó, \(x=0\) hoặc \(x-4=0 \Leftrightarrow x=4\). Vậy phương trình có hai nghiệm là \(x=0\) và \(x=4\).",Đưa phương trình về dạng tích bằng cách đặt nhân tử chung.,Đặt nhân tử chung x.,,
Identify the Error,1,"Hãy tìm và chỉ ra lỗi sai trong các bước giải phương trình sau:  \n Cho phương trình: \((x+2)^2 = x+2\)  \n Bước 1: Chia cả hai vế cho \(x+2\), ta được \(x+2 = 1\)  \n Bước 2: \(x = 1 - 2\)  \n Bước 3: \(x = -1\).  \n Vậy phương trình có nghiệm \(x=-1\).","Lỗi sai ở Bước 1: Chia cả hai vế cho biểu thức \(x+2\) mà chưa xét trường hợp \(x+2=0\). Nếu \(x+2=0 \Rightarrow x=-2\), thì \(0^2=0\) (đúng), vậy \(x=-2\) cũng là nghiệm.  \n Cách giải đúng:  \n \((x+2)^2 - (x+2) = 0\)  \n \(\Leftrightarrow (x+2)(x+2-1) = 0\)  \n \(\Leftrightarrow (x+2)(x+1) = 0\).  \n Suy ra \(x=-2\) hoặc \(x=-1\).","Khi chia hai vế của phương trình cho một biểu thức chứa ẩn, cần xét trường hợp biểu thức đó bằng 0 để tránh mất nghiệm.",Cẩn thận khi chia cho biểu thức chứa ẩn ở Bước 1. Biểu thức đó có thể bằng 0 không?,,
Concept/Theorem/Formula,1,Phương trình chứa ẩn ở mẫu: Điều kiện xác định và cách giải,Điều kiện xác định (ĐKXĐ) của phương trình chứa ẩn ở mẫu là các giá trị của ẩn làm cho tất cả các mẫu thức trong phương trình đều khác 0. Cách giải: Bước 1: Tìm ĐKXĐ. Bước 2: Quy đồng mẫu thức hai vế rồi khử mẫu. Bước 3: Giải phương trình vừa nhận được. Bước 4: Đối chiếu các nghiệm tìm được với ĐKXĐ để kết luận nghiệm của phương trình.,"Không thể chia cho 0, nên mẫu thức phải khác 0. Nghiệm tìm được phải thỏa mãn ĐKXĐ.",Mẫu khác 0.,,
Ordering Steps,1,Sắp xếp các bước giải phương trình \(\frac{x}{x-1} = 1 + \frac{1}{x-1}\).,Thứ tự đúng đảm bảo tìm được nghiệm chính xác và loại nghiệm không thỏa mãn.,"Đây là một phương trình chứa ẩn ở mẫu. Việc đầu tiên là tìm điều kiện để các mẫu thức khác 0. Sau đó, quy đồng mẫu thức hai vế để có thể khử mẫu, đưa về giải một phương trình đơn giản hơn. Cuối cùng, nghiệm tìm được phải được đối chiếu lại với điều kiện xác định ban đầu.",Bắt đầu bằng việc tìm điều kiện xác định.,,
