custom_lo_id,learning_object_title,topic,description
LO-C1-01,Nhận dạng và giải phương trình tích,1,Phân tích vế trái thành nhân tử để đưa phương trình về dạng A(x) * B(x) = 0 và tìm nghiệm.
LO-C1-02,Xác định điều kiện và giải phương trình chứa ẩn ở mẫu,1,"Tìm điều kiện xác định của phương trình, quy đồng mẫu thức hai vế, khử mẫu và giải phương trình nhận được."
LO-C1-03,Giải bài toán bằng cách lập phương trình,1,"Phân tích bài toán thực tế, chọn ẩn số, lập phương trình và giải để tìm ra đáp số thỏa mãn điều kiện."
LO-C1-04,Khái niệm phương trình bậc nhất hai ẩn và nghiệm,1,Hiểu định nghĩa phương trình dạng ax + by = c và cách kiểm tra một cặp số (x; y) có phải là nghiệm hay không.
LO-C1-05,Biểu diễn hình học tập nghiệm của phương trình bậc nhất hai ẩn,1,Biết rằng tập nghiệm của phương trình ax + by = c là một đường thẳng và cách vẽ đường thẳng đó trên mặt phẳng tọa độ.
LO-C1-06,Khái niệm hệ hai phương trình bậc nhất hai ẩn và nghiệm,1,Hiểu một hệ phương trình gồm hai phương trình bậc nhất hai ẩn và khái niệm nghiệm chung của hệ.
LO-C1-07,Giải hệ phương trình bằng phương pháp thế,1,Thực hiện các bước rút một ẩn theo ẩn kia từ một phương trình và thế vào phương trình còn lại để giải.
LO-C1-08,Giải hệ phương trình bằng phương pháp cộng đại số,1,Thực hiện các bước nhân hai vế của phương trình với số thích hợp để làm hệ số của một ẩn đối nhau rồi cộng vế theo vế.
LO-C1-09,Xác định số nghiệm của hệ phương trình dựa vào tỉ số hệ số,1,"Dựa vào các tỉ số a/a', b/b', c/c' để xác định hệ phương trình có nghiệm duy nhất, vô số nghiệm hay vô nghiệm."
LO-C1-10,Giải bài toán bằng cách lập hệ phương trình,1,"Phân tích bài toán thực tế, chọn hai ẩn số, lập hệ hai phương trình tương ứng và giải để tìm đáp số."
LO-C2-01,"Liên hệ giữa thứ tự và phép cộng, phép nhân",2,"Nắm vững các tính chất: cộng cùng một số, nhân với số dương, nhân với số âm và sự thay đổi chiều của bất đẳng thức."
LO-C2-02,Khái niệm bất phương trình bậc nhất một ẩn,2,"Nhận dạng được bất phương trình có dạng ax + b < 0 (hoặc >, ≤, ≥) với a ≠ 0."
LO-C2-03,Giải bất phương trình bậc nhất một ẩn,2,Vận dụng hai quy tắc biến đổi tương đương (chuyển vế và nhân/chia) để tìm tập nghiệm của bất phương trình.
