custom_lo_id,learning_object_title,cognitive_level,description,objective,lesson_title
LO-C3-01,Khái niệm căn bậc hai và căn bậc ba của số thực.,Nhận biết,Khái niệm về căn bậc hai của số thực không âm và căn bậc ba của số thực.,Nhận biết được khái niệm về căn bậc hai của số thực không âm và căn bậc ba của số thực.,LESSON-00006
LO-C3-02,"Tìm căn bậc hai, căn bậc ba.",Thông hiểu,Xác định giá trị căn bậc hai hoặc căn bậc ba của một số thực cho trước.,Tìm được căn bậc hai của số thực không âm và căn bậc ba của một số thực. Tính được giá trị (đúng hoặc gần đúng) căn bậc hai của một số hữu tỉ bằng máy tính cầm tay.,LESSON-00006
LO-C3-03,"So sánh căn bậc hai, căn bậc ba.",Thông hiểu,"Khi so sánh hai căn bậc hai hoặc hai căn bậc ba, ta có thể so sánh trực tiếp các số nằm trong căn.",So sánh được căn bậc hai của số thực không âm và so sánh được căn bậc ba của số thực.,LESSON-00006
LO-C3-04,Căn bậc hai của một bình phương.,Thông hiểu,"Với mọi số thực a, căn bậc hai của bình phương của a bằng giá trị tuyệt đối của a.",Thực hiện được một số phép tính đơn giản về căn bậc hai của một bình phương.,LESSON-00007
LO-C3-05,Căn bậc hai của một tích.,Thông hiểu,Căn bậc hai của một tích bằng tích các căn bậc hai của từng thừa số.,Thực hiện được một số phép tính đơn giản về căn bậc hai của một tích.,LESSON-00007
LO-C3-06,Căn bậc hai của một thương.,Thông hiểu,Căn thức bậc hai của một thương bằng thương các căn thức bậc hai của tử và mẫu.,Thực hiện được một số phép tính đơn giản về căn bậc hai của một thương.,LESSON-00007
LO-C3-07,Đưa thừa số ra ngoài dấu căn bậc hai.,Thông hiểu,Tách phần bình phương hoàn chỉnh khỏi biểu thức trong căn để rút gọn căn thức.,Thực hiện được một số phép tính đơn giản về đưa thừa số ra ngoài dấu căn bậc hai.,LESSON-00007
LO-C3-08,Đưa thừa số vào trong dấu căn bậc hai.,Thông hiểu,Biến đổi ngược lại: chuyển thừa số ngoài căn vào trong dấu căn để thuận tiện tính toán.,Thực hiện được một số phép tính đơn giản về đưa thừa số vào trong dấu căn bậc hai.,LESSON-00007
LO-C3-09,Ứng dụng.,Vận dụng,"Đưa được bài toán thực tế về một phương trình toán và sử dụng một số phép tính đơn giản về căn bậc hai của số thực không âm (căn bậc hai của một bình phương, căn bậc hai của một tích, căn bậc hai của một thương, đưa thừa số ra ngoài dấu căn bậc hai, đưa thừa số vào trong dấu căn bậc hai) làm cho phương trình đó trở nên đơn giản hơn.","Vận dụng được một số phép tính đơn giản về căn bậc hai của số thực không âm (căn bậc hai của một bình phương, căn bậc hai của một tích, căn bậc hai của một thương, đưa thừa số ra ngoài dấu căn bậc hai, đưa thừa số vào trong dấu căn bậc hai) để giải quyết các bài toán thực tế.",LESSON-00007
LO-C3-10,Tính giá trị biểu thức tại giá trị cho trước.,Thông hiểu,Thay giá trị cụ thể vào căn thức để tính giá trị biểu thức đại số có chứa căn.,Nhận biết được khái niệm về căn thức bậc hai và căn thức bậc ba của một biểu thức đại số. Tính được giá trị biểu thức tại giá trị cho trước.,LESSON-00008
LO-C3-11,Tìm điều kiện để căn thức bậc hai có nghĩa.,Thông hiểu,Điều kiện để căn thức bậc hai có nghĩa: biểu thức dưới dấu căn phải không âm.,Tìm được điều kiện xác định của căn thức bậc hai hoặc căn thức bậc ba.,LESSON-00008
LO-C3-12,Căn thức bậc hai của một bình phương.,Vận dụng,"Căn thức bậc hai của 1 bình phương bằng chính số đó nếu số đó không âm, và bằng số đối của nó nếu số đó âm.",Thực hiện được một số phép tính đơn giản về căn bậc hai của một bình phương.,LESSON-00009
LO-C3-13,Căn thức bậc hai của một tích.,Vận dụng,Căn thức bậc hai của một tích bằng tích các căn thức bậc hai của từng thừa số.,Thực hiện được một số phép tính đơn giản về căn bậc hai của một tích.,LESSON-00009
LO-C3-14,Căn thức bậc hai của một thương.,Vận dụng,Căn thức bậc hai của một thương bằng thương các căn thức bậc hai của tử và mẫu.,Thực hiện được một số phép tính đơn giản về căn bậc hai của một thương.,LESSON-00009
LO-C3-15,Trục căn thức ở mẫu.,Vận dụng,"Để trục căn thức ở mẫu của một phân thức, ta nhân cả tử và mẫu của phân thức đó với lượng liên hợp của mẫu.",Thực hiện được một số phép tính đơn giản về trục căn thức ở mẫu.,LESSON-00009
LO-C3-16,Rút gọn biểu thức.,Vận dụng,Thực hiện các phép biến đổi căn thức bậc hai của biểu thức đại số.,Vận dụng được các phéo biến đổi căn thức bậc hai của biểu thức đại số để rút gọn biểu thức.,LESSON-00009
LO-C3-17,Ứng dụng.,Vận dụng,"Đưa được bài toán thực tế thành biểu thức đại số và sử dụng một số phép tính đơn giản về căn bậc hai của số thực không âm (căn bậc hai của một bình phương, căn bậc hai của một tích, căn bậc hai của một thương, đưa thừa số ra ngoài dấu căn bậc hai, đưa thừa số vào trong dấu căn bậc hai) làm cho biểu thức đó trở nên đơn giản hơn.","Vận dụng được một số phép tính đơn giản về căn bậc hai của số thực không âm (căn bậc hai của một bình phương, căn bậc hai của một tích, căn bậc hai của một thương, đưa thừa số ra ngoài dấu căn bậc hai, đưa thừa số vào trong dấu căn bậc hai) để giải quyết các bài toán thực tế.",LESSON-00009
