learning_object,question_text,suggested_solution,difficulty
LO-00001,Phương trình nào sau đây là phương trình tích? A. \(2x + 1 = 0\) B. \(x^2 - 9 = 0\) C. \((x-1)(2x+3) = 0\) D. \(\frac{x}{x+1} = 5\),"Phương trình tích có dạng \(A(x) \cdot B(x) = 0\). Trong các phương án trên, chỉ có phương trình \((x-1)(2x+3) = 0\) có dạng này.  **Lời giải:** - Bước 1: Nhận dạng các phương trình đã cho. - Bước 2: So sánh với dạng tổng quát của phương trình tích là \(A(x) \cdot B(x) = 0\). - Bước 3: Kết luận phương trình \((x-1)(2x+3) = 0\) là phương trình tích.  **Đáp án đúng là C.**",Nhận biết
LO-00001,Giải phương trình \(5x(x-7) = 0\).,Đây là phương trình tích có dạng \(A(x) \cdot B(x) = 0\) với \(A(x) = 5x\) và \(B(x) = x-7\).  **Lời giải:** Ta có: \(5x(x-7) = 0\) Trường hợp 1: \(5x = 0 \Leftrightarrow x = 0\) Trường hợp 2: \(x - 7 = 0 \Leftrightarrow x = 7\)  Vậy tập nghiệm của phương trình là \(S = \{0; 7\}\).,Nhận biết
LO-00001,Tìm tập nghiệm của phương trình \((2x-1)^2 - 25 = 0\).,"Để giải phương trình, ta cần phân tích vế trái thành nhân tử bằng cách sử dụng hằng đẳng thức hiệu hai bình phương \(A^2 - B^2 = (A-B)(A+B)\).  **Lời giải:** Ta có: \((2x-1)^2 - 25 = 0\) \(\Leftrightarrow (2x-1)^2 - 5^2 = 0\) \(\Leftrightarrow ((2x-1) - 5)((2x-1) + 5) = 0\) \(\Leftrightarrow (2x-6)(2x+4) = 0\)  Trường hợp 1: \(2x - 6 = 0 \Leftrightarrow 2x = 6 \Leftrightarrow x = 3\) Trường hợp 2: \(2x + 4 = 0 \Leftrightarrow 2x = -4 \Leftrightarrow x = -2\)  Vậy tập nghiệm của phương trình là \(S = \{-2; 3\}\).",Thông hiểu
LO-00001,Giải phương trình \(x^2(x-3) = 4(x-3)\).,"Đây là dạng phương trình cần chuyển vế để xuất hiện nhân tử chung, tránh chia hai vế cho biểu thức chứa ẩn có thể làm mất nghiệm.  **Lời giải:** Ta có: \(x^2(x-3) = 4(x-3)\) \(\Leftrightarrow x^2(x-3) - 4(x-3) = 0\) \(\Leftrightarrow (x-3)(x^2 - 4) = 0\) \(\Leftrightarrow (x-3)(x-2)(x+2) = 0\)  Trường hợp 1: \(x - 3 = 0 \Leftrightarrow x = 3\) Trường hợp 2: \(x - 2 = 0 \Leftrightarrow x = 2\) Trường hợp 3: \(x + 2 = 0 \Leftrightarrow x = -2\)  Vậy tập nghiệm của phương trình là \(S = \{-2; 2; 3\}\).",Thông hiểu
LO-00001,Giải phương trình \(x^3 - 2x^2 + 5x - 10 = 0\).,"Ta sẽ phân tích vế trái thành nhân tử bằng phương pháp nhóm hạng tử.  **Lời giải:** Ta có: \(x^3 - 2x^2 + 5x - 10 = 0\) \(\Leftrightarrow (x^3 - 2x^2) + (5x - 10) = 0\) \(\Leftrightarrow x^2(x - 2) + 5(x - 2) = 0\) \(\Leftrightarrow (x - 2)(x^2 + 5) = 0\)  Trường hợp 1: \(x - 2 = 0 \Leftrightarrow x = 2\) Trường hợp 2: \(x^2 + 5 = 0\). Vì \(x^2 \ge 0\) với mọi \(x\), nên \(x^2 + 5 > 0\) với mọi \(x\). Do đó phương trình này vô nghiệm.  Vậy phương trình đã cho có nghiệm duy nhất là \(x = 2\).",Thông hiểu
LO-00001,Tìm tổng các nghiệm của phương trình \(x^2 - 8x + 15 = 0\) bằng cách phân tích thành nhân tử.,Ta sẽ phân tích đa thức vế trái thành nhân tử bằng phương pháp tách hạng tử bậc nhất.  **Lời giải:** Ta có: \(x^2 - 8x + 15 = 0\) \(\Leftrightarrow x^2 - 3x - 5x + 15 = 0\) \(\Leftrightarrow (x^2 - 3x) - (5x - 15) = 0\) \(\Leftrightarrow x(x - 3) - 5(x - 3) = 0\) \(\Leftrightarrow (x - 3)(x - 5) = 0\)  Phương trình có hai nghiệm là \(x_1 = 3\) và \(x_2 = 5\). Tổng các nghiệm là \(3 + 5 = 8\).,Vận dụng
LO-00001,Giải phương trình \((x+2)^3 - (x+2) = 0\).,Ta phân tích vế trái thành nhân tử bằng cách đặt nhân tử chung.  **Lời giải:** Ta có: \((x+2)^3 - (x+2) = 0\) \(\Leftrightarrow (x+2)[(x+2)^2 - 1] = 0\) \(\Leftrightarrow (x+2)(x+2-1)(x+2+1) = 0\) \(\Leftrightarrow (x+2)(x+1)(x+3) = 0\)  Phương trình có 3 nghiệm: - \(x + 2 = 0 \Leftrightarrow x = -2\) - \(x + 1 = 0 \Leftrightarrow x = -1\) - \(x + 3 = 0 \Leftrightarrow x = -3\)  Vậy tập nghiệm của phương trình là \(S = \{-3; -2; -1\}\).,Vận dụng
LO-00001,Biết \(x=1\) là một nghiệm của phương trình \(x^3 + 2x^2 - 5x + 2 = 0\). Tìm các nghiệm còn lại.,Vì \(x=1\) là một nghiệm nên đa thức \(x^3 + 2x^2 - 5x + 2\) chia hết cho \((x-1)\). Ta thực hiện phép chia đa thức hoặc phân tích thành nhân tử.  **Lời giải:** Ta có: \(x^3 + 2x^2 - 5x + 2 = 0\) \(\Leftrightarrow (x^3 - x^2) + (3x^2 - 3x) - (2x - 2) = 0\) \(\Leftrightarrow x^2(x - 1) + 3x(x - 1) - 2(x - 1) = 0\) \(\Leftrightarrow (x - 1)(x^2 + 3x - 2) = 0\)  Ta đã biết nghiệm \(x=1\). Các nghiệm còn lại là nghiệm của phương trình \(x^2 + 3x - 2 = 0\). Ta có \(\Delta = 3^2 - 4(1)(-2) = 9 + 8 = 17 > 0\). Phương trình có hai nghiệm phân biệt: \(x_1 = \frac{-3 + \sqrt{17}}{2}\) \(x_2 = \frac{-3 - \sqrt{17}}{2}\)  Vậy các nghiệm còn lại của phương trình là \(\frac{-3 + \sqrt{17}}{2}\) và \(\frac{-3 - \sqrt{17}}{2}\).,Vận dụng
LO-00001,Tìm tất cả các giá trị của tham số \(m\) để phương trình \((x-m)(x^2 - 6x + 8) = 0\) có đúng hai nghiệm phân biệt.,"Phương trình đã cho là phương trình tích.  **Lời giải:** Ta có: \((x-m)(x^2 - 6x + 8) = 0\) \(\Leftrightarrow (x-m)(x-2)(x-4) = 0\) Phương trình có các nghiệm là \(x=m\), \(x=2\), \(x=4\).  Để phương trình có đúng hai nghiệm phân biệt, nghiệm \(x=m\) phải trùng với một trong hai nghiệm còn lại. - Trường hợp 1: \(m = 2\). Khi đó phương trình có hai nghiệm phân biệt là \(x=2\) và \(x=4\). (Thỏa mãn) - Trường hợp 2: \(m = 4\). Khi đó phương trình có hai nghiệm phân biệt là \(x=2\) và \(x=4\). (Thỏa mãn)  Vậy các giá trị của \(m\) cần tìm là \(m=2\) hoặc \(m=4\).",Vận dụng cao
LO-00001,Giải phương trình \(x^4 + x^2 + 1 = 0\).,Ta sẽ phân tích vế trái thành nhân tử bằng phương pháp thêm bớt hạng tử.  **Lời giải:** Ta có: \(x^4 + x^2 + 1 = 0\) \(\Leftrightarrow (x^4 + 2x^2 + 1) - x^2 = 0\) \(\Leftrightarrow (x^2 + 1)^2 - x^2 = 0\) \(\Leftrightarrow (x^2 + 1 - x)(x^2 + 1 + x) = 0\)  Trường hợp 1: \(x^2 - x + 1 = 0\) Ta có \(\Delta = (-1)^2 - 4(1)(1) = 1 - 4 = -3 < 0\). Phương trình này vô nghiệm.  Trường hợp 2: \(x^2 + x + 1 = 0\) Ta có \(\Delta = 1^2 - 4(1)(1) = 1 - 4 = -3 < 0\). Phương trình này vô nghiệm.  Vậy phương trình đã cho vô nghiệm.,Vận dụng cao
LO-00002,Điều kiện xác định của phương trình \(\frac{5}{x-4} = 1\) là gì?,Phương trình chứa ẩn ở mẫu xác định khi tất cả các mẫu thức khác 0.  **Lời giải:** - Bước 1: Xác định mẫu thức của phương trình. Mẫu thức là \(x-4\). - Bước 2: Đặt điều kiện cho mẫu thức khác 0: \(x - 4 \ne 0\). - Bước 3: Giải điều kiện: \(x \ne 4\).  Vậy điều kiện xác định của phương trình là \(x \ne 4\).,Nhận biết
LO-00002,"Để giải phương trình \(\frac{1}{x} + \frac{1}{x+2} = 3\), ta cần đặt điều kiện xác định là gì?",Phương trình xác định khi tất cả các mẫu thức khác 0.  **Lời giải:** - Bước 1: Xác định các mẫu thức của phương trình: \(x\) và \(x+2\). - Bước 2: Đặt điều kiện cho từng mẫu thức khác 0:   + \(x \ne 0\)   + \(x + 2 \ne 0 \Leftrightarrow x \ne -2\)  Vậy điều kiện xác định của phương trình là \(x \ne 0\) và \(x \ne -2\).,Nhận biết
LO-00002,Tìm tập nghiệm của phương trình \(\frac{2x+1}{x-1} = 3\).,Đây là bài toán giải phương trình chứa ẩn ở mẫu cơ bản.  **Lời giải:** - Bước 1: Tìm điều kiện xác định (ĐKXĐ).   \(x - 1 \ne 0 \Leftrightarrow x \ne 1\).  - Bước 2: Quy đồng và khử mẫu.   \(\frac{2x+1}{x-1} = \frac{3(x-1)}{x-1}\)   \(\Rightarrow 2x + 1 = 3(x-1)\)  - Bước 3: Giải phương trình.   \(2x + 1 = 3x - 3\)   \(\Leftrightarrow 3x - 2x = 1 + 3\)   \(\Leftrightarrow x = 4\)  - Bước 4: Đối chiếu với ĐKXĐ.   Giá trị \(x=4\) thỏa mãn điều kiện \(x \ne 1\).  Vậy tập nghiệm của phương trình là \(S = \{4\}\).,Thông hiểu
LO-00002,Giải phương trình \(\frac{x^2}{x+3} = \frac{9}{x+3}\).,Bài toán này kiểm tra bước đối chiếu nghiệm với điều kiện xác định.  **Lời giải:** - Bước 1: Tìm ĐKXĐ.   \(x + 3 \ne 0 \Leftrightarrow x \ne -3\).  - Bước 2: Khử mẫu.   Phương trình có cùng mẫu thức nên ta có: \(x^2 = 9\)  - Bước 3: Giải phương trình.   \(x^2 = 9 \Leftrightarrow x = 3\) hoặc \(x = -3\).  - Bước 4: Đối chiếu với ĐKXĐ.   + Nghiệm \(x = 3\) thỏa mãn điều kiện \(x \ne -3\) (nhận).   + Nghiệm \(x = -3\) không thỏa mãn điều kiện \(x \ne -3\) (loại).  Vậy phương trình có nghiệm duy nhất là \(x = 3\).,Thông hiểu
LO-00002,Phương trình \(\frac{1}{x-2} + 3 = \frac{3-x}{x-2}\) có bao nhiêu nghiệm?,"Ta cần giải phương trình và đối chiếu với ĐKXĐ để kết luận số nghiệm.  **Lời giải:** - Bước 1: Tìm ĐKXĐ.   \(x - 2 \ne 0 \Leftrightarrow x \ne 2\).  - Bước 2: Quy đồng và khử mẫu.   \(\frac{1}{x-2} + \frac{3(x-2)}{x-2} = \frac{3-x}{x-2}\)   \(\Rightarrow 1 + 3(x-2) = 3-x\)  - Bước 3: Giải phương trình.   \(1 + 3x - 6 = 3 - x\)   \(\Leftrightarrow 3x - 5 = 3 - x\)   \(\Leftrightarrow 4x = 8\)   \(\Leftrightarrow x = 2\)  - Bước 4: Đối chiếu với ĐKXĐ.   Giá trị \(x=2\) không thỏa mãn điều kiện \(x \ne 2\) (loại).  Vậy phương trình đã cho vô nghiệm, tức là có 0 nghiệm.",Thông hiểu
LO-00002,Giải phương trình \(\frac{x}{x-1} - \frac{2}{x+1} = \frac{2}{x^2-1}\).,Đây là phương trình có mẫu thức cần được phân tích thành nhân tử để tìm mẫu thức chung.  **Lời giải:** - Bước 1: Tìm ĐKXĐ.   Ta có \(x^2 - 1 = (x-1)(x+1)\). Vậy ĐKXĐ là \(x \ne 1\) và \(x \ne -1\).  - Bước 2: Quy đồng và khử mẫu. Mẫu thức chung là \((x-1)(x+1)\).   \(\frac{x(x+1)}{(x-1)(x+1)} - \frac{2(x-1)}{(x-1)(x+1)} = \frac{2}{(x-1)(x+1)}\)   \(\Rightarrow x(x+1) - 2(x-1) = 2\)  - Bước 3: Giải phương trình.   \(x^2 + x - 2x + 2 = 2\)   \(\Leftrightarrow x^2 - x = 0\)   \(\Leftrightarrow x(x-1) = 0\)   \(\Leftrightarrow x = 0\) hoặc \(x = 1\).  - Bước 4: Đối chiếu với ĐKXĐ.   + Nghiệm \(x = 0\) thỏa mãn ĐKXĐ (nhận).   + Nghiệm \(x = 1\) không thỏa mãn ĐKXĐ (loại).  Vậy phương trình có nghiệm duy nhất là \(x = 0\).,Vận dụng
LO-00002,Tìm tổng các nghiệm của phương trình \(x + \frac{1}{x} = \frac{5}{2}\).,Đây là phương trình sau khi khử mẫu sẽ trở thành phương trình bậc hai.  **Lời giải:** - Bước 1: Tìm ĐKXĐ: \(x \ne 0\).  - Bước 2: Quy đồng và khử mẫu. Mẫu thức chung là \(2x\).   \(\frac{2x^2}{2x} + \frac{2}{2x} = \frac{5x}{2x}\)   \(\Rightarrow 2x^2 + 2 = 5x\)  - Bước 3: Giải phương trình bậc hai.   \(2x^2 - 5x + 2 = 0\)   Ta có \(\Delta = (-5)^2 - 4(2)(2) = 25 - 16 = 9 > 0\).   Phương trình có hai nghiệm phân biệt:   \(x_1 = \frac{5 + \sqrt{9}}{2 \cdot 2} = \frac{5+3}{4} = 2\)   \(x_2 = \frac{5 - \sqrt{9}}{2 \cdot 2} = \frac{5-3}{4} = \frac{1}{2}\)  - Bước 4: Đối chiếu với ĐKXĐ.   Cả hai nghiệm \(x=2\) và \(x=\frac{1}{2}\) đều thỏa mãn \(x \ne 0\).  Tổng các nghiệm là \(2 + \frac{1}{2} = \frac{5}{2}\).,Vận dụng
