learning_object,question_text,suggested_solution,difficulty
LO-00012,"Sử dụng ký hiệu bất đẳng thức, hãy viết lại khẳng định sau: ""Số a là một số âm"".","Một số được gọi là số âm nếu nó nhỏ hơn 0.  **Lời giải:** - Khẳng định ""Số a là một số âm"" có nghĩa là giá trị của a nhỏ hơn 0. - Ký hiệu ""nhỏ hơn"" là ""<"". - Vậy, ta biểu diễn là: \(a < 0\).",Nhận biết
LO-00012,"Hãy dùng ký hiệu toán học để biểu diễn khẳng định: ""Số y không lớn hơn 15"".","Khẳng định ""không lớn hơn"" có nghĩa là ""nhỏ hơn hoặc bằng"".  **Lời giải:** - ""Không lớn hơn 15"" bao gồm hai trường hợp: nhỏ hơn 15 hoặc bằng 15. - Ký hiệu cho ""nhỏ hơn hoặc bằng"" là ""≤"". - Vậy, ta biểu diễn là: \(y \le 15\).",Nhận biết
LO-00012,"Viết bất đẳng thức biểu diễn khẳng định: ""Tổng của x và 5 là một số không âm"".","Ta cần xác định biểu thức của ""tổng của x và 5"" và ý nghĩa của ""không âm"".  **Lời giải:** - Bước 1: Biểu thức ""tổng của x và 5"" là \(x + 5\). - Bước 2: ""Không âm"" có nghĩa là lớn hơn hoặc bằng 0, ký hiệu là ""≥ 0"". - Bước 3: Kết hợp lại, ta có bất đẳng thức: \(x + 5 \ge 0\).",Thông hiểu
LO-00012,"Nhiệt độ sôi của nước là 100°C. Nếu gọi \(t\) là nhiệt độ của nước chưa sôi (tính bằng °C), hãy viết bất đẳng thức biểu diễn cho \(t\).","Nước chưa sôi có nghĩa là nhiệt độ của nó phải thấp hơn nhiệt độ sôi.  **Lời giải:** - Nhiệt độ sôi là 100°C. - Nước chưa sôi nghĩa là nhiệt độ \(t\) phải nhỏ hơn 100°C. - Vậy, bất đẳng thức biểu diễn là: \(t < 100\).",Thông hiểu
LO-00012,"Hãy viết bất đẳng thức thể hiện mệnh đề: ""Hai lần số a trừ đi 3 thì được kết quả lớn hơn 7"".","Ta cần chuyển từng phần của mệnh đề thành biểu thức toán học.  **Lời giải:** - ""Hai lần số a"" được viết là \(2a\). - ""Hai lần số a trừ đi 3"" được viết là \(2a - 3\). - ""lớn hơn 7"" được ký hiệu là \(> 7\). - Ghép lại, ta có bất đẳng thức: \(2a - 3 > 7\).",Thông hiểu
LO-00012,"Một thang máy có tải trọng tối đa là 800 kg. Hiện tại trong thang máy đã có hàng hóa nặng 150 kg và có \(x\) người, mỗi người cân nặng trung bình 60 kg. Hãy lập bất đẳng thức biểu diễn điều kiện để thang máy không bị quá tải.","Tổng khối lượng trong thang máy phải nhỏ hơn hoặc bằng tải trọng tối đa.  **Lời giải:** - Bước 1: Tính tổng khối lượng của \(x\) người: \(60x\) (kg). - Bước 2: Tính tổng khối lượng hiện có trong thang máy: \(150 + 60x\) (kg). - Bước 3: Lập bất đẳng thức. Để không quá tải, tổng khối lượng phải nhỏ hơn hoặc bằng 800 kg.   \(150 + 60x \le 800\).",Vận dụng
LO-00012,Chu vi của một mảnh vườn hình chữ nhật có chiều dài \(a\) (m) và chiều rộng \(b\) (m) là một số ít nhất bằng 120m. Hãy viết bất đẳng thức thể hiện điều này.,"Ta cần nhớ công thức tính chu vi hình chữ nhật và ý nghĩa của cụm từ ""ít nhất"".  **Lời giải:** - Bước 1: Viết công thức tính chu vi hình chữ nhật: \(P = 2(a+b)\). - Bước 2: Phân tích cụm từ ""ít nhất bằng 120m"". Điều này có nghĩa là chu vi lớn hơn hoặc bằng 120m, ký hiệu là \(\ge 120\). - Bước 3: Lập bất đẳng thức:   \(2(a+b) \ge 120\).",Vận dụng
LO-00012,"Viết bất đẳng thức biểu diễn khẳng định: ""Khoảng cách giữa hai số thực \(x\) và 3 không vượt quá 5"".","Khoảng cách giữa hai số \(a\) và \(b\) trên trục số được biểu diễn bằng giá trị tuyệt đối của hiệu hai số đó, tức là \(|a-b|\).  **Lời giải:** - Bước 1: Biểu diễn ""khoảng cách giữa hai số thực \(x\) và 3"" bằng biểu thức toán học: \(|x - 3|\). - Bước 2: ""Không vượt quá 5"" có nghĩa là nhỏ hơn hoặc bằng 5, ký hiệu là \(\le 5\). - Bước 3: Kết hợp lại, ta có bất đẳng thức: \(|x - 3| \le 5\).",Vận dụng
LO-00012,"Trong hình học, bất đẳng thức tam giác phát biểu rằng: ""Trong một tam giác, tổng độ dài hai cạnh bất kỳ luôn lớn hơn độ dài cạnh còn lại"". Gọi ba cạnh của tam giác là \(a, b, c\). Hãy viết hệ bất đẳng thức biểu diễn khẳng định này.","Khẳng định này phải đúng cho tất cả các cặp cạnh của tam giác.  **Lời giải:** - Bước 1: Xét cặp cạnh \(a, b\) và cạnh còn lại \(c\). Ta có: \(a + b > c\). - Bước 2: Xét cặp cạnh \(a, c\) và cạnh còn lại \(b\). Ta có: \(a + c > b\). - Bước 3: Xét cặp cạnh \(b, c\) và cạnh còn lại \(a\). Ta có: \(b + c > a\).  Vậy, hệ bất đẳng thức biểu diễn khẳng định này là: \(\begin{cases} a + b > c \\ a + c > b \\ b + c > a \end{cases}\)",Vận dụng cao
LO-00012,"Điều kiện để phương trình bậc hai \(ax^2 + bx + c = 0\) (với \(a \ne 0\)) có nghiệm thực là biệt thức Delta của nó không âm. Hãy viết bất đẳng thức biểu diễn điều kiện này theo các hệ số \(a, b, c\).","Đây là bài toán yêu cầu nhớ lại công thức của biệt thức Delta và biểu diễn khẳng định ""không âm"".  **Lời giải:** - Bước 1: Nhớ lại công thức tính biệt thức Delta: \(\Delta = b^2 - 4ac\). - Bước 2: Phân tích khẳng định ""không âm"". Một số không âm là một số lớn hơn hoặc bằng 0, ký hiệu là \(\ge 0\). - Bước 3: Lập bất đẳng thức biểu diễn điều kiện \(\Delta\) không âm:   \(b^2 - 4ac \ge 0\).",Vận dụng cao
