temp_lo_id,question_text,question_type,suggested_solution,difficulty
LO-C1-01,Giải phương trình sau: $$(x - 3)(2x + 5) = 0$$,tự luận,"Để giải phương trình $$(x - 3)(2x + 5) = 0$$, ta áp dụng nguyên tắc phương trình tích: nếu tích của hai thừa số bằng 0 thì ít nhất một trong hai thừa số phải bằng 0.\\Do đó, ta có hai trường hợp:\\Trường hợp 1: $$x - 3 = 0 \implies x = 3$$\\Trường hợp 2: $$2x + 5 = 0 \implies 2x = -5 \implies x = -\frac{5}{2}$$\\Vậy, tập nghiệm của phương trình là $$S = \{3; -\frac{5}{2}\}$$.",nhận biết
LO-C1-01,Giải phương trình: $$(x^2 - 4)(3x + 1) = 0$$,tự luận,"Để giải phương trình $$(x^2 - 4)(3x + 1) = 0$$, ta xét hai trường hợp:\\Trường hợp 1: $$x^2 - 4 = 0 \implies x^2 = 4 \implies x = \pm 2$$\\Trường hợp 2: $$3x + 1 = 0 \implies 3x = -1 \implies x = -\frac{1}{3}$$\\Vậy, tập nghiệm của phương trình là $$S = \{2; -2; -\frac{1}{3}\}$$.",thông hiểu
LO-C1-01,Giải phương trình: $$x^2 - 5x = 0$$,tự luận,"Để giải phương trình $$x^2 - 5x = 0$$, ta phân tích vế trái thành nhân tử:\\$$x(x - 5) = 0$$\\Áp dụng nguyên tắc phương trình tích, ta có hai trường hợp:\\Trường hợp 1: $$x = 0$$\\Trường hợp 2: $$x - 5 = 0 \implies x = 5$$\\Vậy, tập nghiệm của phương trình là $$S = \{0; 5\}$$.",thông hiểu
LO-C1-01,Giải phương trình: $$(x + 1)^2 - 9 = 0$$,tự luận,"Để giải phương trình $$(x + 1)^2 - 9 = 0$$, ta có thể sử dụng hằng đẳng thức hiệu hai bình phương $$a^2 - b^2 = (a - b)(a + b)$$.\\Ta có: $$(x + 1)^2 - 3^2 = 0$$\\$$\implies ((x + 1) - 3)((x + 1) + 3) = 0$$\\$$\implies (x - 2)(x + 4) = 0$$\\Áp dụng nguyên tắc phương trình tích, ta có hai trường hợp:\\Trường hợp 1: $$x - 2 = 0 \implies x = 2$$\\Trường hợp 2: $$x + 4 = 0 \implies x = -4$$\\Vậy, tập nghiệm của phương trình là $$S = \{2; -4\}$$.",vận dụng
LO-C1-01,Giải phương trình: $$x^3 - 2x^2 + x = 0$$,tự luận,"Để giải phương trình $$x^3 - 2x^2 + x = 0$$, ta phân tích vế trái thành nhân tử bằng cách đặt nhân tử chung $$x$$:\\$$x(x^2 - 2x + 1) = 0$$\\Nhận thấy $$x^2 - 2x + 1$$ là hằng đẳng thức bình phương của một hiệu $$(x - 1)^2$$.\\Do đó, phương trình trở thành: $$x(x - 1)^2 = 0$$\\Áp dụng nguyên tắc phương trình tích, ta có hai trường hợp:\\Trường hợp 1: $$x = 0$$\\Trường hợp 2: $$x - 1 = 0 \implies x = 1$$\\Vậy, tập nghiệm của phương trình là $$S = \{0; 1\}$$.",vận dụng cao
LO-C1-02,Tìm điều kiện xác định của phương trình sau: $$\frac{2x}{x - 1} + \frac{3}{x + 2} = 0$$,tự luận,"Để phương trình $$\frac{2x}{x - 1} + \frac{3}{x + 2} = 0$$ xác định, các mẫu thức phải khác 0.\\Điều kiện 1: $$x - 1 \neq 0 \implies x \neq 1$$\\Điều kiện 2: $$x + 2 \neq 0 \implies x \neq -2$$\\Vậy, điều kiện xác định của phương trình là $$x \neq 1$$ và $$x \neq -2$$",nhận biết
LO-C1-02,Giải phương trình: $$\frac{x}{x - 2} - \frac{1}{x} = 0$$,tự luận,"Để giải phương trình $$\frac{x}{x - 2} - \frac{1}{x} = 0$$:\\Bước 1: Tìm điều kiện xác định.\\$$x - 2 \neq 0 \implies x \neq 2$$\\$$x \neq 0$$\\Vậy, ĐKXĐ: $$x \neq 0$$ và $$x \neq 2$$.\\Bước 2: Quy đồng mẫu thức và khử mẫu.\\Mẫu chung là $$x(x - 2)$$.\\$$\frac{x \cdot x}{x(x - 2)} - \frac{1 \cdot (x - 2)}{x(x - 2)} = 0$$\\$$\implies x^2 - (x - 2) = 0$$\\$$\implies x^2 - x + 2 = 0$$\\Bước 3: Giải phương trình nhận được.\\Ta tính delta của phương trình bậc hai $$x^2 - x + 2 = 0$$:\\$$\Delta = b^2 - 4ac = (-1)^2 - 4(1)(2) = 1 - 8 = -7$$\\Vì $$\Delta < 0$$, phương trình vô nghiệm.\\Bước 4: So sánh với điều kiện xác định.\\Vì phương trình vô nghiệm nên không có giá trị $$x$$ nào thỏa mãn.\\Vậy, tập nghiệm của phương trình là $$S = \emptyset$$ (tập rỗng).",thông hiểu
LO-C1-02,Giải phương trình: $$\frac{x + 1}{x - 1} = \frac{x - 1}{x + 1}$$,tự luận,"Để giải phương trình $$\frac{x + 1}{x - 1} = \frac{x - 1}{x + 1}$$:\\Bước 1: Tìm điều kiện xác định.\\$$x - 1 \neq 0 \implies x \neq 1$$\\$$x + 1 \neq 0 \implies x \neq -1$$\\Vậy, ĐKXĐ: $$x \neq 1$$ và $$x \neq -1$$.\\Bước 2: Quy đồng mẫu thức và khử mẫu.\\Mẫu chung là $$(x - 1)(x + 1)$$.\\$$\frac{(x + 1)(x + 1)}{(x - 1)(x + 1)} = \frac{(x - 1)(x - 1)}{(x - 1)(x + 1)}$$\\$$\implies (x + 1)^2 = (x - 1)^2$$\\$$\implies x^2 + 2x + 1 = x^2 - 2x + 1$$\\Bước 3: Giải phương trình nhận được.\\$$\implies 2x = -2x$$\\$$\implies 4x = 0$$\\$$\implies x = 0$$\\Bước 4: So sánh với điều kiện xác định.\\Giá trị $$x = 0$$ thỏa mãn ĐKXĐ ($$0 \neq 1$$ và $$0 \neq -1$$).\\Vậy, tập nghiệm của phương trình là $$S = \{0\}$$.",thông hiểu
LO-C1-02,Giải phương trình: $$\frac{x^2 - 4}{x + 2} = x - 2$$,tự luận,"Để giải phương trình $$\frac{x^2 - 4}{x + 2} = x - 2$$:\\Bước 1: Tìm điều kiện xác định.\\$$x + 2 \neq 0 \implies x \neq -2$$\\Vậy, ĐKXĐ: $$x \neq -2$$.\\Bước 2: Rút gọn vế trái và giải phương trình.\\Ta nhận thấy $$x^2 - 4 = (x - 2)(x + 2)$$.\\Do đó, vế trái có thể rút gọn:\\$$\frac{(x - 2)(x + 2)}{x + 2} = x - 2$$\\Với điều kiện $$x \neq -2$$, phương trình trở thành:\\$$x - 2 = x - 2$$\\Đây là một đẳng thức luôn đúng.\\Bước 3: Kết luận.\\Vì đẳng thức luôn đúng với mọi $$x$$ thỏa mãn điều kiện xác định, nên tập nghiệm của phương trình là tất cả các giá trị $$x$$ khác $$-2$$.\\Vậy, tập nghiệm của phương trình là $$S = \mathbb{R} \setminus \{-2\}$$.",vận dụng
LO-C1-02,Giải phương trình: $$\frac{1}{x - 1} + \frac{2}{x + 1} = \frac{3x - 1}{x^2 - 1}$$,tự luận,"Để giải phương trình $$\frac{1}{x - 1} + \frac{2}{x + 1} = \frac{3x - 1}{x^2 - 1}$$:\\Bước 1: Tìm điều kiện xác định.\\Ta có $$x^2 - 1 = (x - 1)(x + 1)$$.\\$$x - 1 \neq 0 \implies x \neq 1$$\\$$x + 1 \neq 0 \implies x \neq -1$$\\Vậy, ĐKXĐ: $$x \neq 1$$ và $$x \neq -1$$.\\Bước 2: Quy đồng mẫu thức và khử mẫu.\\Mẫu chung là $$(x - 1)(x + 1)$$.\\$$\frac{1 \cdot (x + 1)}{(x - 1)(x + 1)} + \frac{2 \cdot (x - 1)}{(x - 1)(x + 1)} = \frac{3x - 1}{(x - 1)(x + 1)}$$\\$$\implies (x + 1) + 2(x - 1) = 3x - 1$$\\$$\implies x + 1 + 2x - 2 = 3x - 1$$\\$$\implies 3x - 1 = 3x - 1$$\\Bước 3: Giải phương trình nhận được.\\Đây là một đẳng thức luôn đúng.\\Bước 4: So sánh với điều kiện xác định.\\Vì đẳng thức luôn đúng với mọi $$x$$ thỏa mãn điều kiện xác định, nên tập nghiệm của phương trình là tất cả các giá trị $$x$$ khác $$1$$ và $$-1$$.\\Vậy, tập nghiệm của phương trình là $$S = \mathbb{R} \setminus \{-1; 1\}$$.",vận dụng cao
